employee_code,date,shift,check_in,check_out,regular_minutes,late_minutes,early_leave_minutes,overtime_minutes,status
EMP0001,2025-09-11,GENERAL,2025-09-11 08:30:00,2025-09-11 18:58:00,540,0,0,88,PRESENT
EMP0001,2025-09-12,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2025-09-15,GENERAL,2025-09-15 08:30:00,2025-09-15 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-09-16,GENERAL,2025-09-16 08:44:00,2025-09-16 18:54:00,526,14,0,84,PRESENT
EMP0001,2025-09-17,GENERAL,2025-09-17 08:30:00,2025-09-17 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-09-18,GENERAL,2025-09-18 09:05:00,2025-09-18 17:30:00,505,35,0,0,PRESENT
EMP0001,2025-09-19,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2025-09-22,GENERAL,,,0,0,0,0,ABSENT
EMP0001,2025-09-23,GENERAL,2025-09-23 08:30:00,2025-09-23 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-09-24,GENERAL,2025-09-24 08:30:00,2025-09-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-09-25,GENERAL,2025-09-25 08:50:00,2025-09-25 18:19:00,520,20,0,49,PRESENT
EMP0001,2025-09-26,GENERAL,2025-09-26 09:05:00,2025-09-26 18:58:00,505,35,0,88,PRESENT
EMP0001,2025-09-29,GENERAL,2025-09-29 08:30:00,2025-09-29 18:05:00,540,0,0,35,PRESENT
EMP0001,2025-09-30,GENERAL,2025-09-30 08:51:00,2025-09-30 17:30:00,519,21,0,0,PRESENT
EMP0001,2025-10-01,GENERAL,2025-10-01 08:30:00,2025-10-01 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-02,GENERAL,2025-10-02 08:30:00,2025-10-02 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-03,GENERAL,2025-10-03 08:30:00,2025-10-03 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-06,GENERAL,2025-10-06 08:30:00,2025-10-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-07,GENERAL,2025-10-07 09:11:00,2025-10-07 17:30:00,499,41,0,0,PRESENT
EMP0001,2025-10-08,GENERAL,2025-10-08 08:30:00,2025-10-08 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-09,GENERAL,2025-10-09 08:41:00,2025-10-09 17:30:00,529,11,0,0,PRESENT
EMP0001,2025-10-10,GENERAL,2025-10-10 08:53:00,2025-10-10 17:30:00,517,23,0,0,PRESENT
EMP0001,2025-10-13,GENERAL,2025-10-13 08:30:00,2025-10-13 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-14,GENERAL,2025-10-14 08:30:00,2025-10-14 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-15,GENERAL,2025-10-15 08:30:00,2025-10-15 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-16,GENERAL,2025-10-16 08:30:00,2025-10-16 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-17,GENERAL,2025-10-17 08:42:00,2025-10-17 17:30:00,528,12,0,0,PRESENT
EMP0001,2025-10-20,GENERAL,2025-10-20 08:30:00,2025-10-20 17:23:00,533,0,7,0,PRESENT
EMP0001,2025-10-21,GENERAL,2025-10-21 08:30:00,2025-10-21 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-22,GENERAL,2025-10-22 09:06:00,2025-10-22 17:30:00,504,36,0,0,PRESENT
EMP0001,2025-10-23,GENERAL,2025-10-23 08:37:00,2025-10-23 17:30:00,533,7,0,0,PRESENT
EMP0001,2025-10-24,GENERAL,2025-10-24 08:30:00,2025-10-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-27,GENERAL,2025-10-27 08:56:00,2025-10-27 17:30:00,514,26,0,0,PRESENT
EMP0001,2025-10-28,GENERAL,2025-10-28 08:30:00,2025-10-28 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-29,GENERAL,2025-10-29 08:44:00,2025-10-29 18:19:00,526,14,0,49,PRESENT
EMP0001,2025-10-30,GENERAL,2025-10-30 08:30:00,2025-10-30 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-10-31,GENERAL,,,0,0,0,0,LEAVE
EMP0001,2025-11-03,GENERAL,2025-11-03 08:30:00,2025-11-03 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-04,GENERAL,2025-11-04 08:30:00,2025-11-04 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-05,GENERAL,2025-11-05 08:30:00,2025-11-05 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-06,GENERAL,2025-11-06 08:30:00,2025-11-06 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-07,GENERAL,2025-11-07 08:30:00,2025-11-07 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-10,GENERAL,2025-11-10 08:46:00,2025-11-10 17:30:00,524,16,0,0,PRESENT
EMP0001,2025-11-11,GENERAL,2025-11-11 08:30:00,2025-11-11 18:17:00,525,0,15,62,PRESENT
EMP0001,2025-11-12,GENERAL,2025-11-12 08:30:00,2025-11-12 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-13,GENERAL,2025-11-13 08:30:00,2025-11-13 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-14,GENERAL,2025-11-14 08:30:00,2025-11-14 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-17,GENERAL,2025-11-17 08:30:00,2025-11-17 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-18,GENERAL,2025-11-18 08:30:00,2025-11-18 17:00:00,510,0,30,0,PRESENT
EMP0001,2025-11-19,GENERAL,2025-11-19 09:02:00,2025-11-19 17:30:00,508,32,0,0,PRESENT
EMP0001,2025-11-20,GENERAL,2025-11-20 08:30:00,2025-11-20 17:55:00,540,0,0,25,PRESENT
EMP0001,2025-11-21,GENERAL,2025-11-21 08:30:00,2025-11-21 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-24,GENERAL,2025-11-24 08:30:00,2025-11-24 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-25,GENERAL,2025-11-25 08:30:00,2025-11-25 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-26,GENERAL,2025-11-26 08:30:00,2025-11-26 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-27,GENERAL,2025-11-27 08:30:00,2025-11-27 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-11-28,GENERAL,2025-11-28 08:30:00,2025-11-28 17:57:00,540,0,0,27,PRESENT
EMP0001,2025-12-01,GENERAL,2025-12-01 08:30:00,2025-12-01 17:14:00,524,0,16,0,PRESENT
EMP0001,2025-12-02,GENERAL,2025-12-02 08:44:00,2025-12-02 17:30:00,526,14,0,0,PRESENT
EMP0001,2025-12-03,GENERAL,2025-12-03 08:30:00,2025-12-03 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-04,GENERAL,2025-12-04 08:30:00,2025-12-04 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-05,GENERAL,2025-12-05 08:30:00,2025-12-05 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-08,GENERAL,2025-12-08 08:30:00,2025-12-08 17:30:00,540,0,0,0,PRESENT
EMP0001,2025-12-09,GENERAL,2025-12-09 08:30:00,2025-12-09 18:13:00,540,0,0,43,PRESENT
EMP0001,2025-12-10,GENERAL,2025-12-10 09:05:00,2025-12-10 17:30:00,505,35,0,0,PRESENT
EMP0001,2025-12-11,GENERAL,2025-12-11 08:30:00,2025-12-11 17:30:00,540,0,0,0,PRESENT
