employee_code,kpi_code,period,target,actual,achievement_percentage,weight,weighted_score,source
EMP0001,ATTENDANCE_RATE,2025-10,95,95.65,100.69,10,10.07,ATTENDANCE
EMP0001,MANAGEMENT_EFFECTIVENESS,2025-10,90,74.15,82.39,90,74.15,MANUAL
EMP0002,ATTENDANCE_RATE,2025-10,95,78.26,82.38,15,12.36,ATTENDANCE
EMP0002,TASK_COMPLETION_RATE,2025-10,95,79.94,84.15,35,29.45,MANUAL
EMP0002,MANAGEMENT_EFFECTIVENESS,2025-10,90,81.09,90.1,50,45.05,MANUAL
EMP0003,ATTENDANCE_RATE,2025-10,95,86.96,91.53,35,32.04,ATTENDANCE
EMP0003,PUNCTUALITY,2025-10,90,55,61.11,25,15.28,ATTENDANCE
EMP0003,TASK_COMPLETION_RATE,2025-10,95,93.11,98.01,40,39.2,MANUAL
EMP0004,ATTENDANCE_RATE,2025-10,95,100,105.26,35,36.84,ATTENDANCE
EMP0004,PUNCTUALITY,2025-10,90,95.65,106.28,25,26.57,ATTENDANCE
EMP0004,TASK_COMPLETION_RATE,2025-10,95,78.85,83,40,33.2,MANUAL
EMP0005,ATTENDANCE_RATE,2025-10,95,82.61,86.96,35,30.44,ATTENDANCE
EMP0005,PUNCTUALITY,2025-10,90,68.42,76.02,25,19.01,ATTENDANCE
EMP0005,TASK_COMPLETION_RATE,2025-10,95,73.23,77.08,40,30.83,MANUAL
EMP0007,ATTENDANCE_RATE,2025-10,95,100,105.26,35,36.84,ATTENDANCE
EMP0007,PUNCTUALITY,2025-10,90,95.65,106.28,25,26.57,ATTENDANCE
EMP0007,TASK_COMPLETION_RATE,2025-10,95,97.89,103.04,40,41.22,MANUAL
EMP0008,ATTENDANCE_RATE,2025-10,95,86.96,91.53,35,32.04,ATTENDANCE
EMP0008,PUNCTUALITY,2025-10,90,70,77.78,25,19.45,ATTENDANCE
EMP0008,TASK_COMPLETION_RATE,2025-10,95,72.8,76.63,40,30.65,MANUAL
EMP0009,ATTENDANCE_RATE,2025-10,95,95.65,100.69,15,15.1,ATTENDANCE
EMP0009,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,84.43,84.43,25,21.11,PRODUCTION
EMP0009,QUALITY_RATE,2025-10,98,95.66,97.61,15,14.64,PRODUCTION
EMP0009,DEFECT_RATE,2025-10,2,4.34,46.1,10,4.61,PRODUCTION
EMP0009,SAFETY_INCIDENTS,2025-10,0,0,150,10,15,PRODUCTION
EMP0009,MANAGEMENT_EFFECTIVENESS,2025-10,90,54.29,60.32,25,15.08,MANUAL
EMP0010,ATTENDANCE_RATE,2025-10,95,78.26,82.38,20,16.48,ATTENDANCE
EMP0010,PUNCTUALITY,2025-10,90,77.78,86.42,10,8.64,ATTENDANCE
EMP0010,PRODUCTION_TARGET_ACHIEVEMENT,2025-10,100,55.68,55.68,30,16.7,PRODUCTION
EMP0010,QUALITY_RATE,2025-10,98,89.39,91.22,20,18.24,PRODUCTION
EMP0010,DEFECT_RATE,2025-10,2,10.61,18.85,10,1.89,PRODUCTION
EMP0010,SAFETY_INCIDENTS,2025-10,0,1,100,10,10,PRODUCTION
EMP0011,ATTENDANCE_RATE,2025-10,95,95.65,100.69,20,20.14,ATTENDANCE
EMP0011,PUNCTUALITY,2025-10,90,81.82,90.91,10,9.09,ATTENDANCE
