employee_code,period,basic_salary,fixed_allowances,shift_allowances,overtime_pay,bonus,gross_earnings,attendance_deduction,no_pay_deduction,loan_deduction,total_deductions,net_salary,status
EMP0001,2025-10,423400,11717,0,2493.58,0,437610.58,6004.95,0,4526,10530.95,427079.63,PAID
EMP0002,2025-10,189600,9957,0,6061.73,0,205618.73,4193.08,29169.23,0,33362.31,172256.42,PAID
EMP0003,2025-10,58700,9559,0,2645.73,0,70904.73,1486.31,6773.08,0,8259.39,62645.34,PAID
EMP0004,2025-10,49300,8262,0,959.93,0,58521.93,0,0,0,0,58521.93,PAID
EMP0005,2025-10,59300,10158,0,2245.13,0,71703.13,912.31,4561.54,4479,9952.85,61750.28,PAID
EMP0007,2025-10,60900,11835,0,4289.35,0,77024.35,112.24,0,0,112.24,76912.11,PAID
EMP0008,2025-10,53500,11262,0,1433.95,0,66195.95,625.88,4115.38,0,4741.26,61454.69,PAID
EMP0009,2025-10,205600,9298,0,6499.13,0,221397.13,2454.68,7907.69,5231,15593.37,205803.76,PAID
EMP0010,2025-10,95600,12247,6870,1803.99,0,116520.99,995.83,11030.77,0,12026.6,104494.39,PAID
EMP0011,2025-10,99200,11548,6136,620,0,117504,596.15,3815.38,0,4411.53,113092.47,PAID
EMP0012,2025-10,108400,10649,5860,1042.31,0,125951.31,1242.08,12507.69,0,13749.77,112201.54,PAID
EMP0013,2025-10,91000,11283,4698,6715.63,0,113696.63,408.33,17500,0,17908.33,95788.3,PAID
EMP0014,2025-10,84800,12072,6549,845.96,0,104266.96,1433.72,22830.77,0,24264.49,80002.47,PAID
EMP0015,2025-10,77100,9701,6873,0,0,93674,1044.06,0,0,1044.06,92629.94,PAID
EMP0016,2025-10,76500,10668,5364,147.12,0,92679.12,1287.26,5884.62,0,7171.88,85507.24,PAID
EMP0017,2025-10,61700,11044,6035,1512.84,0,80291.84,934.4,2373.08,2902,6209.48,74082.36,PAID
EMP0018,2025-10,57200,9831,5652,1519.38,0,74202.38,201.67,2200,0,2401.67,71800.71,PAID
EMP0019,2025-10,56400,10171,6343,2826.78,0,75740.78,302.79,0,0,302.79,75437.99,PAID
EMP0020,2025-10,63500,10084,5400,1205.89,0,80189.89,427.4,0,0,427.4,79762.49,PAID
EMP0022,2025-10,56800,11560,5722,1549.71,0,75631.71,0,2184.62,0,2184.62,73447.09,PAID
EMP0023,2025-10,61100,11154,6627,888.59,0,79769.59,1130.94,0,0,1130.94,78638.65,PAID
EMP0024,2025-10,57000,10639,6456,1897.72,0,75992.72,493.27,0,0,493.27,75499.45,PAID
EMP0025,2025-10,63600,9153,5528,2560.82,0,80841.82,591.15,2446.15,0,3037.3,77804.52,PAID
EMP0026,2025-10,51900,10057,4356,1041.74,0,67354.74,573.89,7984.62,0,8558.51,58796.23,PAID
EMP0027,2025-10,63500,10227,6035,4197.72,0,83959.72,351.08,2442.31,0,2793.39,81166.33,PAID
EMP0028,2025-10,59200,9832,4182,1031.73,0,74245.73,474.36,0,0,474.36,73771.37,PAID
EMP0030,2025-10,59500,10019,6640,529.21,0,76688.21,1149,4576.92,7848,13573.92,63114.29,PAID
EMP0031,2025-10,64900,11569,4819,1794.11,6182,89264.11,379.62,0,0,379.62,88884.49,PAID
EMP0032,2025-10,64500,11097,6013,1914.84,0,83524.84,1131.85,7442.31,0,8574.16,74950.68,PAID
EMP0033,2025-10,57000,9428,5824,952.28,0,73204.28,758.17,10961.54,0,11719.71,61484.57,PAID
EMP0034,2025-10,62600,10682,5658,3340.67,0,82280.67,406.3,2407.69,0,2813.99,79466.68,PAID
EMP0035,2025-10,58400,9534,6265,1445.96,0,75644.96,730,2246.15,0,2976.15,72668.81,PAID
EMP0037,2025-10,40000,10972,4910,216.35,0,56098.35,131.41,0,0,131.41,55966.94,PAID
EMP0038,2025-10,43400,11890,6382,292.12,0,61964.12,525.11,5007.69,0,5532.8,56431.32,PAID
EMP0039,2025-10,40900,10671,5990,575.16,0,58136.16,507.97,0,0,507.97,57628.19,PAID
EMP0040,2025-10,39600,10920,6906,861.49,0,58287.49,317.31,7615.38,7186,15118.69,43168.8,PAID
EMP0041,2025-10,45900,10653,6867,391.69,0,63811.69,456.06,3530.77,0,3986.83,59824.86,PAID
EMP0042,2025-10,42300,9243,6226,904.98,0,58673.98,525.36,6507.69,0,7033.05,51640.93,PAID
EMP0043,2025-10,45500,10397,5392,1575,0,62864,32.81,0,0,32.81,62831.19,PAID
EMP0044,2025-10,41000,11256,6802,409.01,0,59467.01,584.78,3153.85,0,3738.63,55728.38,PAID
EMP0045,2025-10,39200,10231,4049,306.25,0,53786.25,530.83,3015.38,0,3546.21,50240.04,PAID
EMP0046,2025-10,41400,10006,6411,1686.85,0,59503.85,255.43,3184.62,0,3440.05,56063.8,PAID
EMP0047,2025-10,29900,9905,4900,1002.66,0,45707.66,323.44,1150,0,1473.44,44234.22,PAID
EMP0049,2025-10,185500,10523,0,4080.11,0,200103.11,1857.97,0,0,1857.97,198245.14,PAID
EMP0050,2025-10,86500,10947,4675,1008.47,7877,111007.47,1989.22,0,3121,5110.22,105897.25,PAID
EMP0051,2025-10,94900,10323,4559,3170.94,11216,124168.94,2828.75,7300,2868,12996.75,111172.19,PAID
EMP0052,2025-10,53000,10912,6230,783.53,0,70925.53,174.12,2038.46,0,2212.58,68712.95,PAID
