employee_code,period,kpi_score,manager_score,final_score,rating,status
EMP0001,2025-10,84.22,80.03,82.96,Very Good,FINALIZED
EMP0002,2025-10,86.86,85.46,86.44,Very Good,FINALIZED
EMP0003,2025-10,86.52,89.11,87.3,Very Good,FINALIZED
EMP0004,2025-10,96.61,100,97.63,Outstanding,FINALIZED
EMP0005,2025-10,80.28,77.09,79.32,Good,FINALIZED
EMP0007,2025-10,104.63,100,103.24,Outstanding,FINALIZED
EMP0008,2025-10,82.14,83.75,82.62,Very Good,FINALIZED
EMP0009,2025-10,85.54,82.92,84.75,Very Good,FINALIZED
EMP0010,2025-10,71.95,77.05,73.48,Good,FINALIZED
EMP0011,2025-10,92.48,93.88,92.9,Outstanding,FINALIZED
EMP0012,2025-10,93.47,94.75,93.85,Outstanding,FINALIZED
EMP0013,2025-10,105.79,100,104.05,Outstanding,FINALIZED
EMP0014,2025-10,78.18,70.89,75.99,Good,FINALIZED
EMP0015,2025-10,92.28,91.84,92.15,Outstanding,FINALIZED
EMP0016,2025-10,83.96,89.42,85.6,Very Good,FINALIZED
EMP0017,2025-10,88.24,84.56,87.14,Very Good,FINALIZED
EMP0018,2025-10,87.2,91.27,88.42,Very Good,FINALIZED
EMP0019,2025-10,96.05,94.39,95.55,Outstanding,FINALIZED
EMP0020,2025-10,90.89,88.49,90.17,Outstanding,FINALIZED
EMP0022,2025-10,91.97,88.7,90.99,Outstanding,FINALIZED
EMP0023,2025-10,112.48,100,108.74,Outstanding,FINALIZED
EMP0024,2025-10,92.72,95.4,93.52,Outstanding,FINALIZED
EMP0025,2025-10,91.63,93.45,92.18,Outstanding,FINALIZED
EMP0026,2025-10,106.8,100,104.76,Outstanding,FINALIZED
EMP0027,2025-10,111.47,100,108.03,Outstanding,FINALIZED
EMP0028,2025-10,86.89,81.47,85.26,Very Good,FINALIZED
EMP0030,2025-10,78.28,78.09,78.22,Good,FINALIZED
EMP0031,2025-10,93.93,98.29,95.24,Outstanding,FINALIZED
EMP0032,2025-10,108.01,100,105.61,Outstanding,FINALIZED
EMP0033,2025-10,87.83,92.44,89.21,Very Good,FINALIZED
EMP0034,2025-10,91.3,92.2,91.57,Outstanding,FINALIZED
EMP0035,2025-10,73.68,69.63,72.47,Good,FINALIZED
EMP0037,2025-10,96.68,99.02,97.38,Outstanding,FINALIZED
EMP0038,2025-10,91.06,93.99,91.94,Outstanding,FINALIZED
EMP0039,2025-10,91.31,90.75,91.14,Outstanding,FINALIZED
EMP0040,2025-10,85.69,82.8,84.82,Very Good,FINALIZED
EMP0041,2025-10,87.5,92.93,89.13,Very Good,FINALIZED
EMP0042,2025-10,84.91,82.97,84.33,Very Good,FINALIZED
EMP0043,2025-10,93.35,98.59,94.92,Outstanding,FINALIZED
EMP0044,2025-10,106.69,100,104.68,Outstanding,FINALIZED
EMP0045,2025-10,87.95,80.57,85.74,Very Good,FINALIZED
EMP0046,2025-10,78.5,84.19,80.21,Very Good,FINALIZED
EMP0047,2025-10,91.84,89.86,91.25,Outstanding,FINALIZED
EMP0049,2025-10,66.88,70.97,68.11,Satisfactory,FINALIZED
EMP0050,2025-10,76.92,81.38,78.26,Good,FINALIZED
EMP0051,2025-10,70.57,66.99,69.5,Satisfactory,FINALIZED
EMP0052,2025-10,79.53,74.21,77.93,Good,FINALIZED
EMP0054,2025-10,76.92,74.62,76.23,Good,FINALIZED
EMP0055,2025-10,78.02,71.8,76.15,Good,FINALIZED
EMP0057,2025-10,74.54,68.15,72.62,Good,FINALIZED
EMP0059,2025-10,68.89,62.14,66.86,Satisfactory,FINALIZED
EMP0061,2025-10,78.53,73.28,76.96,Good,FINALIZED
EMP0062,2025-10,72.57,66.6,70.78,Good,FINALIZED
EMP0063,2025-10,70.7,74.2,71.75,Good,FINALIZED
EMP0064,2025-10,78.72,78.52,78.66,Good,FINALIZED
EMP0065,2025-10,98.53,96.35,97.88,Outstanding,FINALIZED
EMP0066,2025-10,62.47,55.08,60.25,Satisfactory,FINALIZED
EMP0067,2025-10,92.21,95.52,93.2,Outstanding,FINALIZED
EMP0068,2025-10,84.79,79.87,83.31,Very Good,FINALIZED
EMP0069,2025-10,79.81,74.9,78.34,Good,FINALIZED
EMP0070,2025-10,79.61,79.89,79.69,Good,FINALIZED
EMP0071,2025-10,80.38,80.05,80.28,Very Good,FINALIZED
EMP0072,2025-10,63.75,60.75,62.85,Satisfactory,FINALIZED
EMP0073,2025-10,84.79,86.76,85.38,Very Good,FINALIZED
EMP0075,2025-10,76.9,69.69,74.74,Good,FINALIZED
EMP0076,2025-10,78.72,73.58,77.18,Good,FINALIZED
EMP0077,2025-10,80.79,85.06,82.07,Very Good,FINALIZED
EMP0078,2025-10,88.91,84.26,87.52,Very Good,FINALIZED
EMP0079,2025-10,76.12,80.4,77.4,Good,FINALIZED
EMP0080,2025-10,97.65,100,98.36,Outstanding,FINALIZED
EMP0082,2025-10,84.53,83.15,84.12,Very Good,FINALIZED
EMP0083,2025-10,85.43,88.91,86.47,Very Good,FINALIZED
EMP0084,2025-10,82.06,85.43,83.07,Very Good,FINALIZED
EMP0085,2025-10,84.69,77.36,82.49,Very Good,FINALIZED
EMP0086,2025-10,86.21,90.52,87.5,Very Good,FINALIZED
EMP0087,2025-10,83.31,76.76,81.35,Very Good,FINALIZED
EMP0089,2025-10,81.96,77.72,80.69,Very Good,FINALIZED
EMP0091,2025-10,70.61,74.86,71.88,Good,FINALIZED
EMP0092,2025-10,85.76,81.8,84.57,Very Good,FINALIZED
EMP0093,2025-10,80.75,73.44,78.56,Good,FINALIZED
EMP0094,2025-10,77.32,82.8,78.96,Good,FINALIZED
EMP0095,2025-10,85.75,85.32,85.62,Very Good,FINALIZED
EMP0096,2025-10,89.49,83.92,87.82,Very Good,FINALIZED
EMP0097,2025-10,100.14,100,100.1,Outstanding,FINALIZED
EMP0098,2025-10,92.99,89.1,91.82,Outstanding,FINALIZED
EMP0100,2025-10,61.99,67.21,63.56,Satisfactory,FINALIZED
EMP0001,2025-11,74.98,70.16,73.53,Good,FINALIZED
EMP0002,2025-11,85.35,78.96,83.43,Very Good,FINALIZED
EMP0003,2025-11,85.62,84.62,85.32,Very Good,FINALIZED
EMP0004,2025-11,97.82,100,98.47,Outstanding,FINALIZED
EMP0005,2025-11,82.42,86.65,83.69,Very Good,FINALIZED
EMP0007,2025-11,103.42,100,102.39,Outstanding,FINALIZED
EMP0008,2025-11,84.86,89.87,86.36,Very Good,FINALIZED
EMP0009,2025-11,85.23,80.54,83.82,Very Good,FINALIZED
EMP0010,2025-11,78.33,80.44,78.96,Good,FINALIZED
EMP0011,2025-11,94.45,89.34,92.92,Outstanding,FINALIZED
EMP0012,2025-11,88.23,81.78,86.29,Very Good,FINALIZED
EMP0013,2025-11,109.62,100,106.73,Outstanding,FINALIZED
EMP0014,2025-11,85.47,87.51,86.08,Very Good,FINALIZED
EMP0015,2025-11,90.3,82.78,88.04,Very Good,FINALIZED
EMP0016,2025-11,84.04,79.99,82.83,Very Good,FINALIZED
EMP0017,2025-11,88.16,82.87,86.57,Very Good,FINALIZED
EMP0018,2025-11,86.46,86.31,86.42,Very Good,FINALIZED
EMP0019,2025-11,95.86,96.72,96.12,Outstanding,FINALIZED
EMP0020,2025-11,86.49,90.85,87.8,Very Good,FINALIZED
EMP0022,2025-11,91.48,96.81,93.08,Outstanding,FINALIZED
EMP0023,2025-11,110.42,100,107.29,Outstanding,FINALIZED
EMP0024,2025-11,93.55,95.68,94.19,Outstanding,FINALIZED
EMP0025,2025-11,85.1,83.29,84.56,Very Good,FINALIZED
EMP0026,2025-11,109.2,100,106.44,Outstanding,FINALIZED
EMP0027,2025-11,106.12,100,104.28,Outstanding,FINALIZED
EMP0028,2025-11,83.99,89.25,85.57,Very Good,FINALIZED
EMP0030,2025-11,78.79,76.41,78.08,Good,FINALIZED
EMP0031,2025-11,93.7,95.98,94.38,Outstanding,FINALIZED
EMP0032,2025-11,112.24,100,108.57,Outstanding,FINALIZED
EMP0033,2025-11,93.09,92.59,92.94,Outstanding,FINALIZED
EMP0034,2025-11,88.3,89.2,88.57,Very Good,FINALIZED
EMP0035,2025-11,82.83,82.52,82.74,Very Good,FINALIZED
EMP0037,2025-11,90.89,88.22,90.09,Outstanding,FINALIZED
EMP0038,2025-11,89.43,82.8,87.44,Very Good,FINALIZED
EMP0039,2025-11,90.96,95.52,92.33,Outstanding,FINALIZED
EMP0040,2025-11,90.47,94.04,91.54,Outstanding,FINALIZED
EMP0041,2025-11,89.36,82.82,87.4,Very Good,FINALIZED
EMP0042,2025-11,85.96,81.42,84.6,Very Good,FINALIZED
EMP0043,2025-11,92.85,97.8,94.33,Outstanding,FINALIZED
EMP0044,2025-11,114.46,100,110.12,Outstanding,FINALIZED
EMP0045,2025-11,86.7,81.31,85.08,Very Good,FINALIZED
EMP0046,2025-11,82.12,78.3,80.97,Very Good,FINALIZED
EMP0047,2025-11,90.11,93,90.98,Outstanding,FINALIZED
EMP0049,2025-11,67,65.78,66.63,Satisfactory,FINALIZED
EMP0050,2025-11,74.14,70.74,73.12,Good,FINALIZED
EMP0051,2025-11,71.22,73.03,71.76,Good,FINALIZED
EMP0052,2025-11,73.01,73.44,73.14,Good,FINALIZED
EMP0054,2025-11,75.99,72.22,74.86,Good,FINALIZED
EMP0055,2025-11,75.99,77.78,76.53,Good,FINALIZED
EMP0057,2025-11,78.77,76.77,78.17,Good,FINALIZED
EMP0059,2025-11,75.99,79.83,77.14,Good,FINALIZED
EMP0061,2025-11,80.1,84.67,81.47,Very Good,FINALIZED
EMP0062,2025-11,76.1,76.81,76.31,Good,FINALIZED
EMP0063,2025-11,74.72,69.26,73.08,Good,FINALIZED
EMP0064,2025-11,79.88,73.18,77.87,Good,FINALIZED
EMP0065,2025-11,98.76,100,99.13,Outstanding,FINALIZED
EMP0066,2025-11,69.43,66.01,68.4,Satisfactory,FINALIZED
EMP0067,2025-11,90.38,82.58,88.04,Very Good,FINALIZED
EMP0068,2025-11,86.04,78.51,83.78,Very Good,FINALIZED
EMP0069,2025-11,85.28,81.94,84.28,Very Good,FINALIZED
EMP0070,2025-11,76.76,77.67,77.03,Good,FINALIZED
EMP0071,2025-11,80.38,82.87,81.13,Very Good,FINALIZED
EMP0072,2025-11,64.46,62.24,63.79,Satisfactory,FINALIZED
EMP0073,2025-11,82.5,79.8,81.69,Very Good,FINALIZED
EMP0075,2025-11,87.84,91.97,89.08,Very Good,FINALIZED
EMP0076,2025-11,83.24,82.04,82.88,Very Good,FINALIZED
EMP0077,2025-11,74.3,76.59,74.99,Good,FINALIZED
EMP0078,2025-11,85.95,84.41,85.49,Very Good,FINALIZED
EMP0079,2025-11,72.82,74.06,73.19,Good,FINALIZED
EMP0080,2025-11,96.84,94.08,96.01,Outstanding,FINALIZED
EMP0082,2025-11,89.26,82.67,87.28,Very Good,FINALIZED
EMP0083,2025-11,81.71,82.74,82.02,Very Good,FINALIZED
EMP0084,2025-11,76.53,70.56,74.74,Good,FINALIZED
EMP0085,2025-11,78.64,75.19,77.6,Good,FINALIZED
EMP0086,2025-11,86.78,84.34,86.05,Very Good,FINALIZED
EMP0087,2025-11,94.03,91.92,93.4,Outstanding,FINALIZED
EMP0089,2025-11,80.35,83.19,81.2,Very Good,FINALIZED
EMP0091,2025-11,71.57,75.34,72.7,Good,FINALIZED
