employee_code,date,shift,target_units,produced_units,defective_units,rework_units,downtime_minutes,safety_incidents
EMP0009,2025-09-11,GENERAL,59,53,2,1,4,0
EMP0009,2025-09-12,GENERAL,50,46,2,1,4,0
EMP0009,2025-09-15,GENERAL,58,46,2,1,3,0
EMP0009,2025-09-16,GENERAL,56,45,2,1,9,0
EMP0009,2025-09-17,GENERAL,57,46,2,1,21,0
EMP0009,2025-09-18,GENERAL,41,32,1,0,10,0
EMP0009,2025-09-19,GENERAL,51,47,2,1,10,0
EMP0009,2025-09-22,GENERAL,51,40,2,1,23,0
EMP0009,2025-09-23,GENERAL,53,49,2,1,4,0
EMP0009,2025-09-24,GENERAL,44,35,1,0,57,0
EMP0009,2025-09-25,GENERAL,53,41,2,1,17,0
EMP0009,2025-09-26,GENERAL,56,47,2,1,17,0
EMP0009,2025-09-29,GENERAL,50,39,2,1,36,0
EMP0009,2025-09-30,GENERAL,47,37,1,1,27,0
EMP0009,2025-10-01,GENERAL,49,45,2,1,27,0
EMP0009,2025-10-02,GENERAL,42,33,1,1,13,0
EMP0009,2025-10-03,GENERAL,58,48,2,1,24,0
EMP0009,2025-10-06,GENERAL,51,46,2,1,22,0
EMP0009,2025-10-07,GENERAL,40,31,1,0,0,0
EMP0009,2025-10-08,GENERAL,46,37,1,1,25,0
EMP0009,2025-10-09,GENERAL,41,32,2,1,5,0
EMP0009,2025-10-10,GENERAL,47,43,2,1,22,0
EMP0009,2025-10-13,GENERAL,48,40,2,1,30,0
EMP0009,2025-10-14,GENERAL,45,39,2,1,2,0
EMP0009,2025-10-15,GENERAL,53,41,2,1,11,0
EMP0009,2025-10-16,GENERAL,51,43,2,1,18,0
EMP0009,2025-10-20,GENERAL,41,35,2,1,1,0
EMP0009,2025-10-21,GENERAL,56,49,2,1,6,0
EMP0009,2025-10-22,GENERAL,60,54,2,1,24,0
EMP0009,2025-10-23,GENERAL,59,49,2,1,11,0
EMP0009,2025-10-24,GENERAL,51,39,2,1,23,0
EMP0009,2025-10-27,GENERAL,53,45,2,1,6,0
EMP0009,2025-10-28,GENERAL,50,45,2,1,0,0
EMP0009,2025-10-29,GENERAL,43,35,1,1,73,0
EMP0009,2025-10-30,GENERAL,48,42,2,1,13,0
EMP0009,2025-10-31,GENERAL,60,51,2,1,8,0
EMP0009,2025-11-03,GENERAL,60,49,2,1,66,0
EMP0009,2025-11-04,GENERAL,51,46,2,1,13,0
EMP0009,2025-11-05,GENERAL,52,40,2,1,21,0
EMP0009,2025-11-06,GENERAL,56,43,2,1,24,0
EMP0009,2025-11-07,GENERAL,59,47,2,1,5,0
EMP0009,2025-11-10,GENERAL,56,52,3,1,45,0
EMP0009,2025-11-11,GENERAL,43,36,2,1,12,0
EMP0009,2025-11-12,GENERAL,50,44,2,1,61,0
EMP0009,2025-11-13,GENERAL,40,34,1,0,23,0
EMP0009,2025-11-14,GENERAL,58,48,2,1,5,0
EMP0009,2025-11-17,GENERAL,60,47,2,1,20,0
